REG ID,ID,BDATE,DATA TYPE,BREED,gINB,gEFI,Test Type,CDCB,SIRE REG,SIRE NAAB,SIRE NAME,DAM REG,DAM ID,MGS REG,MGS NAAB,MGS Name,RPRO,Age In Months,LACT,DIM,AY BBR,BS BBR,GU BBR,HO BBR,JE BBR,Dead/Sold,NET MERIT,TPI,CHEESE MERIT,FLUID MERIT,GRAZING MERIT,MILK,JPI,FAT,PROTEIN,FAT PERCENT,PROTEIN PERCENT,PRODUCTIVE LIFE,EFH REL,EFC REL,FEED EFFICIENCY,RFI,DAUGHTER PREGNANCY RATE,HEIFER CONCEPTION RATE,COW CONCEPTION RATE,FERTILITY INDEX,DAUGHTER CALVING EASE,SIRE CALVING EASE,DAUGHTER STILLBIRTH,SIRE STILLBIRTH,HEALTH INDEX,HEIFER LIVABILITY,LIVABILITY,EARLY FIRST CALVING,SOMATIC CELL SCORE,MASTITITS,METRITIS,DISPLACED ABOMASUM,MILK FEVER,RETAINED PLACENTA,KETOSIS,BDE,DFM,FLS,FTA,FTP,FUA,PTAT,RLR,RLS,RPA,RTP,RUH,RUW,STA,STR,TLG,TRW,UCL,UDP,UDC,FLC,JUI,AH1_GV,AH2_GV,Arachnomelia BS_GV,Arachnomelia SM_GV,BCN AB_GV,BCN A2_GV,BH2_GV,BLAD_GV,BLG BetaLacto Globulin_GV,Brachyspina_GV,Citrullinemia_GV,CVM_GV,JH1_GV,DGAT_GV,Dominant Red_GV,DUMPS_GV,Factor XI_GV,FMO3_GV,HCD_GV,HH1_GV,HH3_GV,GART/HH4_GV,HH5 *_GV,SDE2/HH6_GV,KCN AB_GV,KCN AE_GV,KCN Haplotype_GV,MW_GV,Red Factor_GV,SDM_GV,Slick_GV,SMA_GV,Weaver_GV,AH1,AH2,AHC,BH1,BH2,BHD,BHM,BHP,BHW,HBR,HCD,HDR,HH0,HH1,HH2,HH3,HH4,HH5,HH6,HHB,HHC,HHD,HHM,HHP,HHR,HMW,HRR,JH1,JH1_PC,JH2,JH2_PC,JHP,JHP_PC,JNS,JNS_PC,ECOFEED LIFE,RCI,DOI,ECOFEED HEIFER,MILKING SPEED,OOC,ECOFEED COW,EMS,VEI,ECO2FEED,BT,VEA,Eco$
10008,10008,2019-02-12,Pedigree,HO,8.64,,CDCB,,HO840003206205300,009HO15039,S-S-I Riveting Thanos-ET,,,HOUSA000070362735,200HO03995,Dauntless,,81,0,,,,,,,N,-29,1743,-30,-27,-29,-63,1743,-6,-2,-0.01,0.0,-0.03,,,-14,9.82,0.04,-0.26,-0.04,-0.02,1.7,1.59,4.04,4.4,,0.19,0.21,0.04,2.27,-0.14,-0.16,-0.07,-0.01,-0.01,-0.09,-0.26,-0.34,-0.26,-0.32,-0.2,-0.53,-0.44,-0.32,0.06,0.03,-0.19,-0.62,-0.62,-0.37,-0.23,0.03,-0.27,-0.25,-0.39,-0.48,-0.23,,N,N,N,,AA,A2A2,N,TL,AB,TY,TN,TV,N,AB,dd,TD,,N,TC,N,N,N,N,N,AA,AA,AA,N,ED/ED,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,3.5,3.7,74,5.3,12.2,74,3.2,3.0,,5.6,3.4,118
10009,10009,2021-06-01,Pedigree,HO,9.6,,CDCB,,,,,,,,,,,53,0,,,,,,,N,119,2484,123,112,111,134,2484,8,6,0.01,0.01,0.62,,,31,3.5,-0.27,-0.08,-0.14,-0.12,2.2,2.08,5.13,5.77,,0.26,0.27,0.54,2.98,0.19,0.09,-0.01,0.01,0.01,0.07,-0.34,-0.32,-0.31,-0.37,-0.17,-0.49,-0.42,-0.44,0.12,0.05,-0.15,-0.56,-0.56,-0.4,-0.3,-0.06,-0.24,-0.25,-0.37,-0.43,-0.3,,N,N,N,,AA,A1A2,N,TL,AA,TY,TN,TV,N,AB,dd,TD,,N,TC,N,N,N,N,N,NoCall,AA,NoCall,N,ED/ED,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.9,4.9,99,7.6,15.9,99,4.6,4.0,,7.8,4.7,316
1003,1003,2020-05-10,Pedigree,HO,9.11,,CDCB,,,,,,,,,,,66,0,,,,,,,N,46,2401,47,45,41,30,2401,0,1,0.0,0.0,0.32,,,7,1.14,-0.17,-0.13,-0.17,-0.11,2.23,2.1,5.26,5.8,,0.25,0.3,0.38,3.0,0.01,-0.05,-0.02,0.0,0.01,-0.01,-0.36,-0.42,-0.38,-0.44,-0.24,-0.63,-0.55,-0.49,0.1,0.03,-0.22,-0.74,-0.74,-0.48,-0.31,-0.01,-0.33,-0.34,-0.48,-0.57,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.7,4.9,99,7.3,16.1,100,4.4,4.0,,7.7,4.6,239
100302,100302,2021-01-20,Pedigree,HO,9.6,,CDCB,,,,,,,,,,,58,0,,,,,,,N,119,2484,123,112,111,134,2484,8,6,0.01,0.01,0.62,,,31,3.5,-0.27,-0.08,-0.14,-0.12,2.2,2.08,5.13,5.77,,0.26,0.27,0.54,2.98,0.19,0.09,-0.01,0.01,0.01,0.07,-0.34,-0.32,-0.31,-0.37,-0.17,-0.49,-0.42,-0.44,0.12,0.05,-0.15,-0.56,-0.56,-0.4,-0.3,-0.06,-0.24,-0.25,-0.37,-0.43,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.9,4.9,99,7.6,15.9,99,4.6,4.0,,7.8,4.7,316
100320,100320,2019-12-03,Pedigree,HO,8.64,,CDCB,,,,,,,,,,,71,0,,,,,,,N,-39,2324,-41,-36,-39,-85,2324,-8,-3,-0.02,0.0,-0.04,,,-19,13.1,0.06,-0.35,-0.06,-0.03,2.27,2.12,5.39,5.87,,0.25,0.28,0.05,3.02,-0.18,-0.21,-0.09,-0.01,-0.02,-0.12,-0.34,-0.46,-0.35,-0.42,-0.27,-0.71,-0.59,-0.43,0.08,0.04,-0.25,-0.83,-0.83,-0.49,-0.3,0.04,-0.36,-0.33,-0.52,-0.64,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,4.7,4.9,99,7.1,16.3,99,4.3,4.0,,7.5,4.5,158
10033,10033,2019-09-10,Pedigree,HO,8.64,,CDCB,,,,,,,,,,,74,0,,,,,,,N,-39,2324,-41,-36,-39,-85,2324,-8,-3,-0.02,0.0,-0.04,,,-19,13.1,0.06,-0.35,-0.06,-0.03,2.27,2.12,5.39,5.87,,0.25,0.28,0.05,3.02,-0.18,-0.21,-0.09,-0.01,-0.02,-0.12,-0.34,-0.46,-0.35,-0.42,-0.27,-0.71,-0.59,-0.43,0.08,0.04,-0.25,-0.83,-0.83,-0.49,-0.3,0.04,-0.36,-0.33,-0.52,-0.64,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,4.7,4.9,99,7.1,16.3,99,4.3,4.0,,7.5,4.5,158
100360,100360,2022-01-05,Pedigree,HO,10.12,,CDCB,,,,,,,,,,,46,0,,,,,,,N,202,2573,208,187,191,217,2573,17,10,0.03,0.01,1.03,,,55,1.64,-0.31,0.06,-0.03,-0.06,2.16,2.06,5.02,5.75,,0.25,0.37,0.73,2.96,0.41,0.24,0.01,0.01,0.03,0.13,-0.34,-0.2,-0.25,-0.32,-0.1,-0.33,-0.3,-0.37,0.14,0.07,-0.08,-0.38,-0.37,-0.33,-0.31,-0.11,-0.15,-0.18,-0.26,-0.29,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5.0,5.0,99,7.8,16.2,99,4.7,4.0,,7.8,4.7,392
100370,100370,2021-07-10,Pedigree,HO,9.6,,CDCB,,,,,,,,,,,52,0,,,,,,,N,119,2484,123,112,111,134,2484,8,6,0.01,0.01,0.62,,,31,3.5,-0.27,-0.08,-0.14,-0.12,2.2,2.08,5.13,5.77,,0.26,0.27,0.54,2.98,0.19,0.09,-0.01,0.01,0.01,0.07,-0.34,-0.32,-0.31,-0.37,-0.17,-0.49,-0.42,-0.44,0.12,0.05,-0.15,-0.56,-0.56,-0.4,-0.3,-0.06,-0.24,-0.25,-0.37,-0.43,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.9,4.9,99,7.6,15.9,99,4.6,4.0,,7.8,4.7,316
100377,100377,2019-11-16,Pedigree,HO,8.64,,CDCB,,,,,,,,,,,72,0,,,,,,,N,-39,2324,-41,-36,-39,-85,2324,-8,-3,-0.02,0.0,-0.04,,,-19,13.1,0.06,-0.35,-0.06,-0.03,2.27,2.12,5.39,5.87,,0.25,0.28,0.05,3.02,-0.18,-0.21,-0.09,-0.01,-0.02,-0.12,-0.34,-0.46,-0.35,-0.42,-0.27,-0.71,-0.59,-0.43,0.08,0.04,-0.25,-0.83,-0.83,-0.49,-0.3,0.04,-0.36,-0.33,-0.52,-0.64,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,4.7,4.9,99,7.1,16.3,99,4.3,4.0,,7.5,4.5,158
100387,100387,2019-03-09,Pedigree,HO,8.64,,CDCB,,,,,,,,,,,80,0,,,,,,,N,-39,2324,-41,-36,-39,-85,2324,-8,-3,-0.02,0.0,-0.04,,,-19,13.1,0.06,-0.35,-0.06,-0.03,2.27,2.12,5.39,5.87,,0.25,0.28,0.05,3.02,-0.18,-0.21,-0.09,-0.01,-0.02,-0.12,-0.34,-0.46,-0.35,-0.42,-0.27,-0.71,-0.59,-0.43,0.08,0.04,-0.25,-0.83,-0.83,-0.49,-0.3,0.04,-0.36,-0.33,-0.52,-0.64,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,4.7,4.9,99,7.1,16.3,99,4.3,4.0,,7.5,4.5,158
1004,1004,2021-01-10,Pedigree,HO,9.6,,CDCB,,HO840003206205300,009HO15039,S-S-I Riveting Thanos-ET,,,,,,,58,0,,,,,,,N,119,2484,123,112,111,134,2484,8,6,0.01,0.01,0.62,,,31,3.5,-0.27,-0.08,-0.14,-0.12,2.2,2.08,5.13,5.77,,0.26,0.27,0.54,2.98,0.19,0.09,-0.01,0.01,0.01,0.07,-0.34,-0.32,-0.31,-0.37,-0.17,-0.49,-0.42,-0.44,0.12,0.05,-0.15,-0.56,-0.56,-0.4,-0.3,-0.06,-0.24,-0.25,-0.37,-0.43,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.9,4.9,99,7.6,15.9,99,4.6,4.0,,7.8,4.7,316
100410,100410,2020-03-10,Pedigree,HO,9.11,,CDCB,,,,,,,,,,,68,0,,,,,,,N,46,2401,47,45,41,30,2401,0,1,0.0,0.0,0.32,,,7,1.14,-0.17,-0.13,-0.17,-0.11,2.23,2.1,5.26,5.8,,0.25,0.3,0.38,3.0,0.01,-0.05,-0.02,0.0,0.01,-0.01,-0.36,-0.42,-0.38,-0.44,-0.24,-0.63,-0.55,-0.49,0.1,0.03,-0.22,-0.74,-0.74,-0.48,-0.31,-0.01,-0.33,-0.34,-0.48,-0.57,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.7,4.9,99,7.3,16.1,100,4.4,4.0,,7.7,4.6,239
100422,100422,2020-03-10,Pedigree,HO,9.11,,CDCB,,,,,,,,,,,68,0,,,,,,,N,46,2401,47,45,41,30,2401,0,1,0.0,0.0,0.32,,,7,1.14,-0.17,-0.13,-0.17,-0.11,2.23,2.1,5.26,5.8,,0.25,0.3,0.38,3.0,0.01,-0.05,-0.02,0.0,0.01,-0.01,-0.36,-0.42,-0.38,-0.44,-0.24,-0.63,-0.55,-0.49,0.1,0.03,-0.22,-0.74,-0.74,-0.48,-0.31,-0.01,-0.33,-0.34,-0.48,-0.57,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.7,4.9,99,7.3,16.1,100,4.4,4.0,,7.7,4.6,239
100448,100448,2019-01-10,Pedigree,HO,8.64,,CDCB,,,,,,,,,,,82,0,,,,,,,N,-39,2324,-41,-36,-39,-85,2324,-8,-3,-0.02,0.0,-0.04,,,-19,13.1,0.06,-0.35,-0.06,-0.03,2.27,2.12,5.39,5.87,,0.25,0.28,0.05,3.02,-0.18,-0.21,-0.09,-0.01,-0.02,-0.12,-0.34,-0.46,-0.35,-0.42,-0.27,-0.71,-0.59,-0.43,0.08,0.04,-0.25,-0.83,-0.83,-0.49,-0.3,0.04,-0.36,-0.33,-0.52,-0.64,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,4.7,4.9,99,7.1,16.3,99,4.3,4.0,,7.5,4.5,158
100449,100449,2022-03-10,Pedigree,HO,10.12,,CDCB,,,,,,,,,,,44,0,,,,,,,N,202,2573,208,187,191,217,2573,17,10,0.03,0.01,1.03,,,55,1.64,-0.31,0.06,-0.03,-0.06,2.16,2.06,5.02,5.75,,0.25,0.37,0.73,2.96,0.41,0.24,0.01,0.01,0.03,0.13,-0.34,-0.2,-0.25,-0.32,-0.1,-0.33,-0.3,-0.37,0.14,0.07,-0.08,-0.38,-0.37,-0.33,-0.31,-0.11,-0.15,-0.18,-0.26,-0.29,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5.0,5.0,99,7.8,16.2,99,4.7,4.0,,7.8,4.7,392
10048,10048,2019-02-09,Pedigree,HO,8.64,,CDCB,,,,,,,,,,,81,0,,,,,,,N,-39,2324,-41,-36,-39,-85,2324,-8,-3,-0.02,0.0,-0.04,,,-19,13.1,0.06,-0.35,-0.06,-0.03,2.27,2.12,5.39,5.87,,0.25,0.28,0.05,3.02,-0.18,-0.21,-0.09,-0.01,-0.02,-0.12,-0.34,-0.46,-0.35,-0.42,-0.27,-0.71,-0.59,-0.43,0.08,0.04,-0.25,-0.83,-0.83,-0.49,-0.3,0.04,-0.36,-0.33,-0.52,-0.64,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,4.7,4.9,99,7.1,16.3,99,4.3,4.0,,7.5,4.5,158
